id|cover_type|insurance|price|wild|detail
29|3|2|150|1|1회 150만 원, 연간 2회 한도 (자기부담금 3만 원)
30|5|2|15|1|"수술 : 1회 150만 원, 연간 2회 한도
입원 : 1일 15만 원, 연간 20일 한도
통원 : 1일 15만 원, 연간 20일 한도
(자기부담금 3만 원)"
31|6|2|15|1|"수술 : 1회 150만 원, 연간 2회 한도
입원 : 1일 15만 원, 연간 20일 한도
통원 : 1일 15만 원, 연간 20일 한도
(자기부담금 3만 원)"
32|4|2|150|1|"수술 : 1회 150만 원, 연간 2회 한도
입원 : 1일 15만 원, 연간 20일 한도
통원 : 1일 15만 원, 연간 20일 한도
(자기부담금 3만 원)"
33|8|2|500|0|1사고당 및 연간 500만원 한도
34|1|5|10|0|1일당 10만원 연간 20회 : 1일당 자기부담금 2만원 공제 후 50% 보상
35|2|5|10|0|1일당 10만원 연간 20회 : 1일당 자기부담금 2만원 공제 후 50% 보상
36|3|5|100|0|수술 1회당 100만원 한도 연간 2회 : 1일당 자기부담금 2만원 공제 후 50% 보상
37|7|5|100|0|수술 1회당 100만원 한도 (수술 연 2회) : 입통원 1일당 10만원 한도 (입통원 각 연 20일 한도 보상) : 1일당 2만원 공제 후 50% 보상
38|1|6|100|1|자기부담금(1만원) 차감 후 70% 보상
39|3|6|100|1|자기부담금(1만원) 차감 후 70% 보상
40|8|6|500|1|대인 및 대동물: 자기부담금(3만원) 차감 후 1사고당 최대 500만원 보상
41|8|6|150|1|공공장소 대물: 자기부담금(10만원) 차감 후 1사고당 최대 150만원 보상
42|1|7|100|1|1사고/질병당 100만원, 보상한도 500만원, 자기부담금 1만원
43|2|7|100|1|1사고/질병당 100만원, 보상한도 500만원, 자기부담금 1만원
44|8|7|500|0|자기부담금 3만원 차감 후 전액
45|8|7|500|1|최대 8000만원, 등급별 상이
46|4|7|100|1|1사고/질병당 100만원, 보상한도 500만원, 자기부담금 1만원
47|5|7|100|1|1사고/질병당 100만원, 보상한도 500만원, 자기부담금 1만원
48|6|7|100|1|1사고/질병당 100만원, 보상한도 500만원, 자기부담금 1만원
49|1|8|5|1|1일당 5만원 연간 22회 : 자기부담금 없이 70%보상
50|2|8|5|1|1일당 5만원 연간 22회 : 자기부담금 없이 70%보상
51|3|8|50|1|수술 1회당 50만원 연간 2회 : 자기부담금 없이 70%보상
52|8|8|500|1|맹견의 경우, 의무보험에서 보상하는 금액을 초과할 때에 한하여 그 초과액만을 보상
53|8|9|300|1|보험가입금액 한도 내 실제 발생한 손해 보상
54|1|11|200|0|"1일 10만원(연간 20일)
자기부담금 2만원 차감 후 50% 보장"
55|2|11|200|0|"1일 10만원(연간 20일)
자기부담금 2만원 차감 후 50% 보장"
56|3|11|200|0|"수술비 1회 100만원 (연간 2회 한도)
자기부담금 2만원 차감 후 50% 보장"
57|8|11|500|0|자기부담금 3만원 차감 후 최대 500만원까지 보장
58|4|11|200|0|(갱신 시 가입가능)치료비 한도서 보장
59|5|11|200|0|(갱신 시 가입가능)치료비 한도서 보장
60|6|11|200|0|(갱신 시 가입가능)치료비 한도서 보장
61|8|12|8000|1|"대인 사망/후유장해 1인당 8000만원
대인 부상 1인당 1500만원
대동물 피해 1사고당 200만원(자기부담금: 대인 및 대동물 1사고당 각각 10만원)"
62|8|13|10000|0|자기부담금 3만원, 과실상계 있음
63|1|10|10|1|1일 10만원 연간 20회 : 1일당 자기부담금 3만원 차감 후 50% 보장
64|2|10|10|1|1일 10만원 연간 20회 : 1일당 자기부담금 3만원 차감 후 50% 보장
65|3|10|100|1|수술 1회 100만원 연간 2회 : 자기부담금 3만원 차감 후 50% 보장
66|4|10|100|1|입통원 1일 10만원 연간 20회 : 수술 1회당 100만원 연간 2회 한도 : 자기부담금 3만원 차감 후 50% 보장
67|5|10|100|1|입통원 1일 10만원 연간 20회 : 수술 1회당 100만원 연간 2회 한도 : 자기부담금 3만원 차감 후 50% 보장
68|6|10|100|1|치석 제거를 위한 스케일링 보장 : 입통원 1일 10만원 연간 20회 : 수술 1회당 100만원 연간 2회 한도 : 자기부담금 3만원 차감 후 50% 보장
69|8|10|500|1|500만원 한도 자기부담금 3만원 차감 후 50% 보장 : 맹견의 경우, 의무보험에서 보상하는 금액을 초과할 때에 한하여 그 초과액만을 보상
