id|name|cause|info|tip|type_id
11|백내장|다양한 원인이 있을 수 있다. 상처를 입거나, 유전 질환, 특정 상태 등으로 인해 시력이 약해질 수 있다. 애견이 나이가 들면 수정체가 퇴화 하면서 자연스럽게 눈동자에 이물질이 나타난다.|특별한 이유없이 애견이 가구나 다른 물체에 부딪히거나 주인을 찾지 못하는 경우가 있다. 특히, 주인이 다른 사람들과 섞여 있는 경우 더욱 힘들어한다. 나이가 많은 애견의 경우 밝은 곳이나 어두운 곳에서 시력에 문제를 보이는 경우가 많기 때문에, 밖에 나가는 것을 꺼려한다.|원인에 따라 치료 방법이 달라지지만, 심한 경우 백내장 수술을 통해 치료해야 한다.|
12|백선|진균과 피부 사상균과 같은 곰팡이가 그 원인이다. 이런 곰팡이의 포자는 바람에 날려 오거나 땅에 묻혀 있기도 하다.|애견이 자꾸 몸을 긁고, 원형 탈모가 나타나며, 감염된 부위의 모서리 부분이 부어오르고 비늘처럼 된다.|백선을 유발하는 곰팡이는 모든 동물에게 옮을 수 있는 것이기 때문에 애견이 사람에게 옮지 않도록 조심해야 한다. 수의사에게 진료를 받는 것이 중요하므로, 가능한 빨리 병원에 데리고 가야한다.|5
13|비만|노화, 주인이 먹이를 지나치게 많이 주는 경우, 살이 찌는 먹이를 먹는 경우 등이 그 원인이 된다.|애견의 갈비뼈 아래로 살이 지나치게 많아지게 되며, 피부 아래에 있는 지방을 쉽게 볼 수 있으며, 특히 운동을 할 때 지방이 드러나게 된다. 살이 많이 찌면 숨을 쉬기가 어려워지고 운동을 점점 싫어하게 된다. 걸음걸이가 둔해지고 게을러진다. 살이 찌고 운동을 하지 않으면 관절에 무리가 오게 되고, 심장 질환이나 주요 장기 이상 등 비만과 관련된 여러가지 질병이 생길 수 있다.|애견이 좀 더 많이 뛰어 놀 수 있도록 만들어 주는 것이 좋다. 수의사가 제시하는 식단을 엄격하게 지키면 전체적인 칼로리가 낮아져서 살을 빼는데 도움이 된다. 체중조절을 위해서 상품으로 된 처방식 사료를 이용하면 효과적으로 체중을 관리할 수 있다.|
14|설사|설사는 단순히 음식을 많이 먹어서, 혹은 스트레스로 인해 나타나는 증상일 수도 있다. 내장에 기생충이 있어도 설사를 할 수 있으며, 소화기에 이물질이 있거나 곰팡이에 감염되었을 때에도 설사를 할 수 있다.|냄새가 나는 묽은 변을 본다. 기름기가 많은 변을 보거나 평소와 색깔이 다른 변을 보더라도 설사로 간주하며, 적은 양의 변을 자주 보는 것도 설사로 간주한다. 설사를 하면 탈수가 되어, 내장에 치료가 불가능할 정도로 손상이 갈 수가 있으며 심하면 죽을 수도 있다.|애견이 아무것도 먹지 못하도록 하고, 물만 적당량 주어야 한다. 설사가 심각하면, 애견에게 수분을 공급해 줄 수 있도록 포도당 한 테이블스푼과 소금 한 티스푼을 물 1리터에 섞어 애견에게 먹이고(음식을 너무 많이 먹어서 설사를 하는 경우), 그 원인이 무엇이든 지속적인 설사가 유발하면 병원에 빨리 데려가 신속히 치료해야 한다.|
15|신장염|여러 종류의 바이러스와 독소 및 질병 등으로 콩팥에 염증이 일어나는 것이다.|콩팥의 주기능인 오줌과 노폐물을 내보내고 영양 물질을 재흡수하는 작용을 못하게 되어 호흡 시 암모니아 냄새가 나고 구토 및 설사를 하며 기력이 떨어진다.|약으로 염분을 보충시키고 안정시키며 수의사에게 보인다.|7
16|심장마비|선천적 심장병과 심장 사상충(필라리아) 등 여러 가지 원인이 있다.|맥박과 호흡이 빨라지고 전체적으로 쇠약해져 체중이 감소한다.|절대적으로 수의사에게 보일 필요가 있다.|
17|심장판막증|승모 판막의 변형이나 혈액의 역류 등 여러 가지 원인이 있다.|호흡 곤란과 기침이 나고 체력이 저하되어 피로를 자주 느낀다.|초기 증상일 경우는 강한 운동과 염분이 많은 음식을 피하고 중증일 경우는 수의사의 진단에 따른 약물 치료를 받도록 한다.|
18|안구탈출|외부의 충격(싸움 등)|눈알이 외부로 튀어나온다.|시간이 경과하면 눈 주위가 부풀어 오르므로 신속하게 눈알에 윤활유를 바른 뒤 부드러운 솜 등으로 눈알을 밀어 넣는다.|
19|외이염|귀가 건조하지 않고 물이 들어가는 것이 원인이다.|귀지와 고름이 많아지고 머리를 흔들며 귀에서 냄새가 나거나 귀를 심하게 긁는다.|항생제와 소염제를 투약해 준다. 평소에 귓속을 항상 건조하게 유지시키며 귓속 털을 깨끗하게 자주 뽑아 준다.|
20|유루증|한 쪽 혹은 양쪽의 눈물관에 이물질이 끼여서 막히거나 감염이 된 경우, 혹은 얼굴에 상처가 있거나, 부상으로 인한 상처나 과도한 점액 생성으로 인한 결과로 유루증이 나타나기도 한다. 유전적인 결함으로 인해 눈물관이 제 기능을 하지 못하는 경우도 있다. 속눈썹이 안으로 자라서 눈을 찔러서 유루증이 생기는 경우도 있다.|눈물이 지나치게 많이 흘러나온다. 얼굴의 털이 하얀색인 경우 유루증의 증상을 보이면 쉽게 알아차릴수 있다. 애완견의 경우 눈꺼풀이 크고 쳐져 있기 때문에 유루증에 걸릴 가능성이 크다.|병원에 데려가야 한다.|
21|음식알레르기|한 가지 이상의 음식 성분이 원인인 경우가 많다. 알레르기를 가장 많이 유발하는 성분은 밀, 젖소의 젖으로 만든 우유, 붉은색 고기 등이다.|피부가 가려워서 계속 긁는다. 심지어 피부가 벗겨질 때까지 긁는다.|수의사가 처방한 치료법을 따라야 한다. 식생활이나 샴푸, 컨디셔너 등을 바꾸고, 주기적으로 기생충을 관리하고 올바른 방법으로 털을 관리하는 등 사소한 변화 만으로 개선시킬 수 있는 경우도 있다.|5
22|지루성피부염|다양한 원인이 있다. 박테리아 감염, 음식 알레르기, 기생충 감염, 샴푸 등 털 관련 제품이 맞지 않는 경우, 갑상선 기능부전, 쿠싱 병, 당뇨 등이 그 원인이 될 수 있다.|손상된 피부가 각질처럼 일어나고 기름기가 많아 보이며 염증이 있는 경우도 있다.||5
23|척추디스크|척추 사이에 있는 디스크(추간판)의 손상이 원인이다.|고통이 있으며 손상된 척추의 아랫 부분에 마비 증세가 있고 무감각해진다.|부타졸리딘, 스테로이드계를 투여하며 심한 경우, 수의사에게 보여 수술을 한다.|4
24|충치|확실한 병원체는 확인되지 않고 있으나 입 속에 있는 세균에 의해 발병하는 것으로 알려져 있다.|통증이 심하지 않으므로 초기 발견이 어려우며 증상이 악화되면 신경이 손상 되기도 한다.|충치를 뽑아내고 소독을 하며 부드러운 음식물을 제공하고 반드시 수의사의 진료를 받는다.|6
25|탈모증|스트레스, 벼룩, 피부염|국소 부위에 털이 많이 빠지거나 상당히 넓은 부위의 털이 많이 빠진다.|치료 방법은 원인에 따라 달라지므로 수의사가 원인에 알맞은 치료 방법을 알려준다. 스트레스로 인해 털이 빠진 경우, 다시 털이 정상적인 상태로 자라게 된다.|5
26|폐렴|외부의 자극에 의한 손상 폐렴과 공해 물질이나 다른 질병에서 오는 염증성 폐렴이 원인이다.|고열과 함께 호흡 속도가 빨라진다.|고영양의 사료와 휴식이 필요하며 항균제와 대사 촉진제 및 영양제를 투여해 준다.|
27|슬개골탈구|만 1살 이하에서 진단되었을 경우 대부분 유전적 요인이 가장 크게 작용한다. 또한, 슬개골 탈구가 전혀 없던 성견이 갑자기 슬개골 탈구가 생기는 경우는 외상으로 인해 2차적으로 발생하는 경우가 대부분이다.|대표적 증상은 뒷다리를 갑자기 들고 절뚝거리는 모습이다. 산책이나 운동 후 무릎 부위를 심하게 깨물거나 핥을 때도 통증이 있다는 증거인 만큼, 평소 세심한 관찰이 필요하다.|슬개골 탈구의 궁극적인 치료는 수술적 교정 밖에는 없으나, 탈구의 정도가 가볍고 증상이 뚜렷하지 않을 경우에는 적절한 비수술적 방법을 통해 관리가 가능하다. 비수술적인 방법으로는 체중관리, 적절한 운동을 통한 근육량 증대, 미끄러지지 않는 곳에서 생활하도록 하는 생활 관리 등이 있다. 단기적으로 증상이 평소보다 심한 경우 비스테로이드성 진통소염제 처방과 일시적 운동 제한, 물리치료 등을 할 수 있다.|4
