id|breed|animal_name|species|animal_birth|outpatient|hospitalization|operation|patella|skin_disease|dental|urinary|liability|insurance_choice
90|37|ÀÌ÷À÷À|1|7|1|5|2|4|1|1|3|3|79
91|37|ÀÌ÷À÷À|1|6|1|4|1|2|2|2|2|4|76
92|37|ÀÌ÷À÷À|1|8|5|5|3|2|2|1|3|2|77
93|37|ÀÌ÷À÷À|1|8|2|5|5|2|3|3|2|4|49
94|37|ÀÌ÷À÷À|1|7|2|3|4|1|3|4|3|4|1
95|37|ÀÌ÷À÷À|1|6|2|4|4|1|4|4|2|4|59
96|37|ÀÌ÷À÷À|1|5|3|3|3|2|4|4|2|3|56
97|38|ÀÌ÷À÷À|1|3|3|2|2|2|4|3|3|3|4
98|38|ÀÌ÷À÷À|1|4|4|4|4|3|2|4|2|3|60
99|38|ÀÌ÷À÷À|1|6|4|5|3|4|2|3|4|4|69
100|38|ÀÌ÷À÷À|1|7|4|5|3|4|1|2|3|3|75
101|38|ÀÌ÷À÷À|1|7|3|4|5|5|1|2|4|4|46
102|38|ÀÌ÷À÷À|1|1|3|1|2|4|1|2|3|2|47
103|38|ÀÌ÷À÷À|1|2|4|1|1|4|1|2|3|3|77
104|38|ÀÌ÷À÷À|1|3|4|2|2|3|1|2|5|4|66
105|38|ÀÌ÷À÷À|1|1|4|3|2|3|1|1|3|1|23
106|39|ÀÌ÷À÷À|1|4|4|2|1|4|2|1|3|5|16
107|39|ÀÌ÷À÷À|1|5|3|1|2|4|2|1|4|1|10
108|39|ÀÌ÷À÷À|1|6|3|3|3|5|2|2|2|1|52
109|39|ÀÌ÷À÷À|1|7|2|1|1|4|2|1|4|5|13
110|39|ÀÌ÷À÷À|1|8|2|4|4|2|2|2|3|1|63
111|39|ÀÌ÷À÷À|1|6|3|4|4|2|2|1|4|5|74
112|39|ÀÌ÷À÷À|1|7|3|5|2|1|2|2|3|1|52
113|39|ÀÌ÷À÷À|1|5|2|5|3|1|3|1|5|3|50
114|39|ÀÌ÷À÷À|1|4|2|4|3|2|3|2|5|2|60
115|39|ÀÌ÷À÷À|1|3|1|3|4|2|2|3|4|2|18
116|39|ÀÌ÷À÷À|1|6|1|2|1|3|2|4|4|2|12
117|39|ÀÌ÷À÷À|1|8|1|5|4|3|3|4|4|4|57
118|39|ÀÌ÷À÷À|1|1|2|4|3|4|3|4|2|3|47
119|39|ÀÌ÷À÷À|1|2|2|1|1|4|3|3|4|2|49
120|40|ÀÌ÷À÷À|1|3|3|1|1|3|2|2|4|3|59
121|40|ÀÌ÷À÷À|1|5|3|4|4|3|2|2|5|1|7
122|40|ÀÌ÷À÷À|1|4|4|2|1|4|1|2|4|1|49
123|40|ÀÌ÷À÷À|1|4|4|2|2|3|1|2|2|1|47
124|40|ÀÌ÷À÷À|1|6|5|3|3|2|1|2|1|2|56
125|40|ÀÌ÷À÷À|1|8|5|5|5|3|1|1|1|3|46
126|40|ÀÌ÷À÷À|1|7|5|5|5|4|1|1|1|3|75
127|40|ÀÌ÷À÷À|1|1|5|1|1|3|2|2|1|4|10
128|40|ÀÌ÷À÷À|1|2|4|1|1|4|2|1|1|4|53
129|40|ÀÌ÷À÷À|1|3|4|2|2|2|3|4|1|4|10
130|40|ÀÌ÷À÷À|1|1|4|1|1|3|3|4|1|4|13
131|40|ÀÌ÷À÷À|1|4|5|4|4|2|2|5|2|4|27
132|40|ÀÌ÷À÷À|1|5|4|4|4|3|1|5|2|5|47
133|40|ÀÌ÷À÷À|1|6|4|5|4|3|1|5|2|5|47
134|40|ÀÌ÷À÷À|1|7|3|5|5|4|1|5|2|5|46
135|40|ÀÌ÷À÷À|1|8|3|5|5|5|2|5|2|4|59
136|41|ÀÌ÷À÷À|1|6|3|5|5|5|2|4|3|4|49
137|41|ÀÌ÷À÷À|1|7|4|4|5|4|3|3|2|5|78
138|41|ÀÌ÷À÷À|1|5|3|3|4|3|4|3|2|4|61
139|41|ÀÌ÷À÷À|1|4|2|2|3|3|4|3|1|3|24
140|41|ÀÌ÷À÷À|1|3|2|4|2|2|5|2|1|3|58
141|41|ÀÌ÷À÷À|1|6|2|1|4|2|5|2|1|3|16
142|41|ÀÌ÷À÷À|1|8|1|5|1|3|5|2|1|3|59
143|41|ÀÌ÷À÷À|1|1|1|1|5|3|4|1|2|2|27
144|41|ÀÌ÷À÷À|1|2|1|2|1|4|4|1|2|2|11
145|41|ÀÌ÷À÷À|1|3|1|1|2|4|3|1|1|3|14
146|41|ÀÌ÷À÷À|1|5|1|3|1|5|3|2|1|3|20
147|41|ÀÌ÷À÷À|1|4|1|3|3|5|3|2|1|3|19
148|41|ÀÌ÷À÷À|1|4|2|2|3|4|2|3|1|4|16
149|41|ÀÌ÷À÷À|1|6|2|4|2|4|2|2|1|4|49
150|41|ÀÌ÷À÷À|1|8|2|5|4|2|1|2|1|5|52
151|41|ÀÌ÷À÷À|1|7|3|5|5|3|1|1|1|5|77
152|41|ÀÌ÷À÷À|1|1|3|1|5|4|1|1|2|5|75
153|42|ÀÌ÷À÷À|1|2|4|2|1|2|1|2|2|4|76
154|42|ÀÌ÷À÷À|1|3|4|2|2|2|2|2|2|4|9
155|42|ÀÌ÷À÷À|1|1|3|3|2|2|2|3|2|5|56
156|42|ÀÌ÷À÷À|1|4|3|3|3|2|3|3|2|4|76
157|42|ÀÌ÷À÷À|1|5|2|4|3|3|3|4|2|3|50
158|42|ÀÌ÷À÷À|1|6|2|3|4|2|4|4|2|3|74
159|42|ÀÌ÷À÷À|1|7|2|4|3|3|4|5|1|3|48
160|42|ÀÌ÷À÷À|1|8|3|5|4|2|3|5|1|2|27
161|81|ÀÌ÷À÷À|1|6|3|4|5|4|3|4|1|2|56
162|81|ÀÌ÷À÷À|1|7|1|5|4|4|3|4|1|2|59
163|81|ÀÌ÷À÷À|1|5|2|4|5|2|2|3|1|2|74
164|42|ÀÌ÷À÷À|1|4|2|4|4|1|2|3|1|2|59
165|42|ÀÌ÷À÷À|1|3|3|2|4|1|2|2|1|2|24
166|42|ÀÌ÷À÷À|1|6|3|4|2|2|3|2|2|3|46
167|42|ÀÌ÷À÷À|1|8|4|5|4|3|3|2|2|3|56
168|42|ÀÌ÷À÷À|1|1|4|1|5|4|4|2|2|3|50
169|42|ÀÌ÷À÷À|1|2|4|1|1|3|4|1|2|3|75
170|42|ÀÌ÷À÷À|1|3|5|2|1|4|4|1|2|3|75
171|43|ÀÌ÷À÷À|1|5|5|4|2|2|5|1|3|4|26
172|43|ÀÌ÷À÷À|1|4|4|3|4|3|5|2|3|4|53
173|43|ÀÌ÷À÷À|1|4|4|4|3|2|5|2|2|4|57
174|43|ÀÌ÷À÷À|1|6|3|1|4|3|5|1|2|4|46
175|43|ÀÌ÷À÷À|1|8|3|2|1|4|4|3|3|4|45
176|43|ÀÌ÷À÷À|1|7|3|5|2|3|4|3|3|5|60
177|43|ÀÌ÷À÷À|1|1|4|4|3|3|4|4|4|5|65
178|43|ÀÌ÷À÷À|1|2|3|2|1|3|3|4|4|5|14
179|43|ÀÌ÷À÷À|1|3|3|3|2|2|3|4|5|5|47
180|82|ÀÌ÷À÷À|1|1|2|4|3|5|2|3|4|5|67
181|82|ÀÌ÷À÷À|1|4|2|2|2|4|2|3|4|5|63
182|82|ÀÌ÷À÷À|1|5|2|1|1|5|1|2|3|5|78
183|43|ÀÌ÷À÷À|1|6|5|2|5|4|1|2|3|5|59
184|43|ÀÌ÷À÷À|1|7|5|5|4|4|2|3|1|5|52
185|43|ÀÌ÷À÷À|1|8|5|4|4|5|2|2|1|5|59
186|43|ÀÌ÷À÷À|1|6|2|5|5|4|1|1|1|5|79
187|43|ÀÌ÷À÷À|1|7|2|4|4|5|1|1|1|4|53
188|44|ÀÌ÷À÷À|1|5|2|2|2|5|1|2|1|4|49
189|44|ÀÌ÷À÷À|1|4|2|3|3|4|1|2|2|4|79
190|44|ÀÌ÷À÷À|1|3|3|1|1|2|1|3|2|4|25
191|44|ÀÌ÷À÷À|1|6|3|3|4|3|1|3|3|3|53
192|81|ÀÌ÷À÷À|1|8|3|5|4|4|2|4|3|3|79
193|82|ÀÌ÷À÷À|1|1|3|1|2|5|2|4|2|3|49
194|82|ÀÌ÷À÷À|1|2|3|1|3|3|2|3|2|3|23
195|82|ÀÌ÷À÷À|1|3|4|2|1|5|3|3|3|3|2
196|82|ÀÌ÷À÷À|1|5|4|3|2|2|3|1|3|2|58
197|44|ÀÌ÷À÷À|1|4|4|3|2|2|3|1|2|2|16
198|44|ÀÌ÷À÷À|1|4|5|2|3|3|3|1|1|2|50
199|44|ÀÌ÷À÷À|1|6|5|2|2|2|3|2|1|3|58
200|44|ÀÌ÷À÷À|1|8|5|5|4|3|2|2|1|3|26
201|44|ÀÌ÷À÷À|1|7|5|5|3|2|2|2|1|3|46
202|44|ÀÌ÷À÷À|1|1|4|1|4|3|2|1|1|3|16
203|44|ÀÌ÷À÷À|1|2|4|2|5|4|1|2|2|4|52
204|44|ÀÌ÷À÷À|1|3|4|3|4|3|3|2|2|4|20
205|44|ÀÌ÷À÷À|1|1|3|4|4|3|4|1|2|3|79
206|45|ÀÌ÷À÷À|1|4|3|5|2|2|4|2|1|4|74
207|45|ÀÌ÷À÷À|1|5|3|1|1|3|4|2|2|3|60
208|45|ÀÌ÷À÷À|1|6|3|2|1|2|4|2|2|2|54
209|45|ÀÌ÷À÷À|1|7|2|3|2|2|3|1|1|2|9
210|81|ÀÌ÷À÷À|1|8|2|3|2|2|3|2|1|2|74
211|81|ÀÌ÷À÷À|1|6|2|3|3|1|2|2|1|2|59
212|82|ÀÌ÷À÷À|1|7|2|4|4|1|2|2|2|2|53
213|45|ÀÌ÷À÷À|1|5|2|4|5|2|1|3|1|3|79
214|45|ÀÌ÷À÷À|1|4|2|3|4|2|1|3|1|3|47
215|45|ÀÌ÷À÷À|1|3|1|2|3|3|1|3|2|2|50
216|45|ÀÌ÷À÷À|1|6|1|1|3|2|1|1|1|2|27
217|45|ÀÌ÷À÷À|1|8|1|1|2|2|1|1|2|2|25
218|45|ÀÌ÷À÷À|1|1|1|2|2|1|2|1|1|2|27
219|45|ÀÌ÷À÷À|1|2|1|1|3|4|2|2|2|2|59
220|45|ÀÌ÷À÷À|1|3|1|1|3|5|3|2|2|2|12
221|45|ÀÌ÷À÷À|1|5|2|2|4|2|3|2|1|2|48
222|45|ÀÌ÷À÷À|1|4|2|2|3|5|3|3|1|2|75
223|46|ÀÌ÷À÷À|1|4|3|3|2|1|3|1|1|1|74
224|46|ÀÌ÷À÷À|1|6|3|3|3|3|2|3|1|1|23
225|46|ÀÌ÷À÷À|1|8|4|4|3|4|1|4|2|1|49
226|46|ÀÌ÷À÷À|1|7|4|4|4|1|1|4|2|1|74
227|46|ÀÌ÷À÷À|1|1|4|5|3|3|1|4|1|1|46
228|50|ÀÌ÷À÷À|1|4|4|5|2|4|3|4|2|1|47
229|50|ÀÌ÷À÷À|1|5|4|5|2|1|3|3|2|1|78
230|50|ÀÌ÷À÷À|1|6|4|4|2|4|3|3|3|2|69
231|46|ÀÌ÷À÷À|1|7|5|4|2|1|3|2|3|2|57
232|46|ÀÌ÷À÷À|1|8|5|3|1|2|3|1|2|1|26
233|46|ÀÌ÷À÷À|1|6|5|2|1|4|3|1|1|1|13
234|46|ÀÌ÷À÷À|1|7|5|1|2|1|3|1|2|1|25
235|46|ÀÌ÷À÷À|1|5|5|1|3|5|2|1|4|1|47
236|46|ÀÌ÷À÷À|1|4|5|4|4|3|2|2|1|1|52
237|46|ÀÌ÷À÷À|1|3|4|4|4|4|2|2|2|2|56
238|47|ÀÌ÷À÷À|1|6|4|5|5|1|3|2|3|2|67
239|47|ÀÌ÷À÷À|1|8|4|5|5|4|3|3|2|2|78
240|47|ÀÌ÷À÷À|1|1|3|2|4|3|3|3|1|3|57
241|47|ÀÌ÷À÷À|1|2|3|2|3|3|4|2|1|3|13
242|50|ÀÌ÷À÷À|1|3|3|2|3|2|4|2|1|3|14
243|50|ÀÌ÷À÷À|1|5|4|1|2|2|4|1|1|2|14
244|50|ÀÌ÷À÷À|1|4|4|1|2|3|4|1|2|1|17
245|50|ÀÌ÷À÷À|1|4|4|1|1|2|1|1|3|1|27
246|47|ÀÌ÷À÷À|1|6|3|1|1|3|1|2|3|1|49
247|47|ÀÌ÷À÷À|1|8|3|2|2|1|1|2|4|1|27
248|47|ÀÌ÷À÷À|1|7|3|3|3|3|2|2|5|2|7
249|47|ÀÌ÷À÷À|1|1|3|3|3|1|2|2|2|1|47
250|47|ÀÌ÷À÷À|1|4|4|4|2|2|2|1|1|1|27
251|47|ÀÌ÷À÷À|1|5|4|5|2|3|2|1|1|1|74
252|47|ÀÌ÷À÷À|1|6|5|5|1|1|2|1|1|2|77
253|47|ÀÌ÷À÷À|1|7|5|5|2|2|1|2|2|2|78
254|47|ÀÌ÷À÷À|1|8|5|5|3|1|1|2|3|1|49
255|47|ÀÌ÷À÷À|1|6|4|4|3|3|1|3|2|2|27
256|47|ÀÌ÷À÷À|1|7|4|4|4|2|3|3|1|1|57
257|48|ÀÌ÷À÷À|1|5|3|4|4|3|3|3|2|2|55
258|48|ÀÌ÷À÷À|1|4|3|4|5|3|4|4|2|1|48
259|50|ÀÌ÷À÷À|1|3|2|2|3|1|4|4|1|2|58
260|50|ÀÌ÷À÷À|1|6|2|3|2|2|5|3|2|1|9
261|50|ÀÌ÷À÷À|1|8|2|2|1|3|5|3|3|2|14
262|50|ÀÌ÷À÷À|1|1|2|1|1|2|5|2|2|2|60
263|48|ÀÌ÷À÷À|1|2|2|1|1|1|5|2|1|2|58
264|48|ÀÌ÷À÷À|1|3|3|1|1|2|4|1|1|2|25
265|48|ÀÌ÷À÷À|1|5|3|2|1|3|4|1|2|1|27
266|48|ÀÌ÷À÷À|1|4|3|3|1|2|3|1|3|1|75
267|48|ÀÌ÷À÷À|1|4|2|3|2|1|3|2|1|2|23
268|48|ÀÌ÷À÷À|1|6|1|3|2|4|3|2|1|2|9
269|48|ÀÌ÷À÷À|1|8|1|3|3|1|3|3|1|2|52
270|49|ÀÌ÷À÷À|1|7|1|3|3|1|2|3|2|4|78
271|49|ÀÌ÷À÷À|1|1|1|1|3|3|2|3|4|4|67
272|49|ÀÌ÷À÷À|1|4|2|1|1|3|2|4|5|4|69
273|49|ÀÌ÷À÷À|1|5|2|2|1|1|2|4|1|4|14
274|49|ÀÌ÷À÷À|1|6|2|2|2|3|1|4|4|4|44
275|101|±טÅÊÀÚ|2|7|3|3|2|4|1|4|4|2|28
276|101|±טÅÊÀÚ|2|8|3|4|3|2|1|3|4|2|27
277|101|±טÅÊÀÚ|2|6|4|4|3|3|1|2|4|1|27
278|101|±טÅÊÀÚ|2|7|4|5|4|3|2|2|3|1|73
279|101|±טÅÊÀÚ|2|5|5|4|4|4|2|2|3|1|21
280|101|±טÅÊÀÚ|2|4|5|3|4|4|2|1|3|1|21
281|101|±טÅÊÀÚ|2|3|5|4|3|3|3|1|2|2|27
282|101|±טÅÊÀÚ|2|6|5|5|3|4|3|2|3|2|6
283|102|±טÅÊÀÚ|2|8|5|4|4|3|3|2|1|2|27
284|102|±טÅÊÀÚ|2|1|4|3|3|2|3|1|1|1|27
285|102|±טÅÊÀÚ|2|2|4|2|3|4|4|2|1|1|21
286|102|±טÅÊÀÚ|2|3|4|2|2|1|3|2|1|2|21
287|102|±טÅÊÀÚ|2|5|4|3|2|1|4|2|1|1|21
288|102|±טÅÊÀÚ|2|4|3|4|2|2|4|2|2|2|27
289|102|±טÅÊÀÚ|2|4|3|5|1|2|4|2|2|1|27
290|102|±טÅÊÀÚ|2|6|3|4|1|1|5|2|3|2|71
291|102|±טÅÊÀÚ|2|8|2|3|1|4|5|3|4|1|72
292|103|±טÅÊÀÚ|2|7|2|3|2|4|4|2|5|2|71
293|103|±טÅÊÀÚ|2|1|2|3|2|4|4|1|4|1|22
294|103|±טÅÊÀÚ|2|4|3|2|3|3|3|1|3|2|28
295|103|±טÅÊÀÚ|2|5|3|3|4|5|3|1|2|1|27
296|103|±טÅÊÀÚ|2|6|4|3|4|1|3|1|2|2|21
297|104|±טÅÊÀÚ|2|7|3|4|4|5|3|2|1|1|21
298|104|±טÅÊÀÚ|2|8|2|4|4|5|2|2|1|1|27
299|104|±טÅÊÀÚ|2|6|2|5|4|5|2|2|3|1|22
300|104|±טÅÊÀÚ|2|7|2|2|4|5|2|3|2|1|27
301|105|±טÅÊÀÚ|2|5|3|2|3|5|2|3|2|1|21
302|105|±טÅÊÀÚ|2|4|3|3|3|4|1|4|3|1|27
303|105|±טÅÊÀÚ|2|3|3|3|3|4|1|4|4|1|27
304|105|±טÅÊÀÚ|2|6|4|2|2|3|2|4|5|1|22
305|105|±טÅÊÀÚ|2|8|4|1|2|3|4|3|5|1|6
306|106|±טÅÊÀÚ|2|1|4|2|2|3|4|2|5|1|5
307|106|±טÅÊÀÚ|2|2|4|4|1|3|3|2|4|1|22
308|106|±טÅÊÀÚ|2|3|5|4|1|2|3|1|4|1|21
309|106|±טÅÊÀÚ|2|5|5|5|2|2|1|1|3|1|21
310|106|±טÅÊÀÚ|2|4|5|5|3|2|1|2|3|2|27
311|106|±טÅÊÀÚ|2|4|4|4|2|4|2|2|3|2|27
312|107|±טÅÊÀÚ|2|6|3|4|3|3|1|3|2|1|27
313|107|±טÅÊÀÚ|2|8|3|3|4|2|1|2|1|1|27
314|107|±טÅÊÀÚ|2|7|2|3|1|4|2|3|1|1|21
315|107|±טÅÊÀÚ|2|1|2|1|1|1|2|4|1|1|21
316|108|±טÅÊÀÚ|2|4|1|2|2|5|3|4|2|1|27
317|108|±טÅÊÀÚ|2|5|1|3|2|5|2|4|2|1|27
318|108|±טÅÊÀÚ|2|6|1|4|1|4|3|4|4|1|21
319|108|±טÅÊÀÚ|2|7|2|5|3|3|4|4|5|1|21
320|109|±טÅÊÀÚ|2|8|2|5|1|4|4|3|5|1|6
321|109|±טÅÊÀÚ|2|6|3|5|4|4|3|3|5|1|71
322|109|±טÅÊÀÚ|2|7|3|5|4|5|3|2|4|1|71
323|109|±טÅÊÀÚ|2|5|3|5|4|4|2|2|4|1|27
324|110|±טÅÊÀÚ|2|4|4|4|4|5|2|2|3|2|22
325|110|±טÅÊÀÚ|2|3|4|3|5|3|3|2|3|2|70
326|110|±טÅÊÀÚ|2|6|3|3|5|3|3|1|3|2|27
327|110|±טÅÊÀÚ|2|8|3|4|5|2|4|1|4|1|21
328|110|±טÅÊÀÚ|2|1|3|3|4|3|4|1|4|1|21
329|110|±טÅÊÀÚ|2|2|3|2|4|1|4|2|3|1|6
330|110|±טÅÊÀÚ|2|3|2|1|3|1|3|1|2|1|27
331|110|±טÅÊÀÚ|2|5|2|2|3|2|3|2|2|1|27
332|111|±טÅÊÀÚ|2|4|2|3|2|1|2|1|1|1|21
333|111|±טÅÊÀÚ|2|4|1|1|2|2|2|2|1|2|27
334|111|±טÅÊÀÚ|2|6|1|4|2|2|2|2|1|1|27
335|111|±טÅÊÀÚ|2|8|1|5|2|3|2|3|2|1|21
336|111|±טÅÊÀÚ|2|7|2|4|2|2|1|3|2|1|21
337|111|±טÅÊÀÚ|2|1|2|1|3|1|1|3|3|1|21
338|111|±טÅÊÀÚ|2|4|1|1|4|2|2|2|3|1|70
339|112|±טÅÊÀÚ|2|5|3|2|4|1|2|1|4|1|22
340|112|±טÅÊÀÚ|2|6|3|3|3|2|3|1|4|1|21
341|112|±טÅÊÀÚ|2|7|3|3|4|3|3|2|5|2|5
342|112|±טÅÊÀÚ|2|8|4|4|3|3|4|2|4|2|73
343|112|±טÅÊÀÚ|2|6|4|5|5|4|4|3|4|2|6
344|112|±טÅÊÀÚ|2|7|4|4|4|4|4|3|3|2|27
345|113|±טÅÊÀÚ|2|5|5|4|4|4|5|3|3|2|27
346|113|±טÅÊÀÚ|2|4|5|4|5|2|5|4|3|2|71
347|113|±טÅÊÀÚ|2|3|5|4|4|3|4|4|3|2|21
348|114|±טÅÊÀÚ|2|6|5|3|3|1|3|4|2|2|21
349|114|±טÅÊÀÚ|2|8|4|5|3|2|2|3|2|1|27
350|114|±טÅÊÀÚ|2|1|4|1|2|1|2|3|2|2|27
351|114|±טÅÊÀÚ|2|2|4|1|4|4|2|2|1|1|27
352|115|±טÅÊÀÚ|2|3|3|1|3|4|2|2|1|2|21
353|115|±טÅÊÀÚ|2|5|3|2|3|5|1|2|2|1|21
354|115|±טÅÊÀÚ|2|4|4|3|3|5|1|1|3|2|27
355|115|±טÅÊÀÚ|2|4|4|3|4|5|2|1|4|2|22
356|115|±טÅÊÀÚ|2|6|5|4|3|3|3|1|4|3|21
357|116|±טÅÊÀÚ|2|8|5|4|4|2|3|2|5|4|73
358|116|±טÅÊÀÚ|2|7|4|4|4|2|3|2|5|4|73
